	batch_id	status	size_mb	start_time	finish_time	total_time_sec	total_time_min
2679	2679	DONE	12.520673751831055	1504707509.2829092	1504707519.8488467	10.565937519073486	0.17609895865122477
3306	3306	DONE	12.521032333374023	1504717849.5760992	1504717859.0466309	9.470531702041626	0.1578421950340271
3226	3226	DONE	4.873722076416016	1504716531.6607623	1504716538.4879787	6.827216386795044	0.1137869397799174
3218	3218	DONE	25.044036865234375	1504716397.2894862	1504716413.3424783	16.05299210548401	0.2675498684247335
3203	3203	DONE	12.520721435546875	1504716164.8002524	1504716174.8649716	10.064719200134277	0.16774532000223796
3201	3201	DONE	12.52077865600586	1504716131.663208	1504716141.5008316	9.837623596191406	0.16396039326985676
3557	3557	DONE	25.854562759399414	1504722179.8899052	1504722196.4356444	16.54573917388916	0.27576231956481934
3406	3406	DONE	12.521360397338867	1504719481.6576867	1504719493.0432253	11.385538578033447	0.18975897630055746
3216	3216	DONE	9.749277114868164	1504716367.436005	1504716376.3461618	8.910156726837158	0.14850261211395263
3222	3222	DONE	28.149600982666016	1504716462.67488	1504716479.9725595	17.29767942428589	0.2882946570714315
3197	3197	DONE	12.520339965820312	1504716073.3356602	1504716083.2998917	9.964231491088867	0.16607052485148113
3225	3225	DONE	14.376750946044922	1504716516.5314941	1504716526.1978133	9.666319131851196	0.1611053188641866
3192	3192	DONE	12.520570755004883	1504715999.0721605	1504716009.0297644	9.957603931427002	0.16596006552378337
3220	3220	DONE	12.519798278808594	1504716434.1009817	1504716443.8154273	9.7144455909729	0.161907426516215
3210	3210	DONE	12.520999908447266	1504716276.3261971	1504716285.2182982	8.892101049423218	0.14820168415705362
3196	3196	DONE	12.52086067199707	1504716058.0540543	1504716067.9030159	9.848961591720581	0.16414935986200968
3207	3207	DONE	12.520944595336914	1504716227.446709	1504716240.6617258	13.215016841888428	0.22025028069814045
3217	3217	DONE	12.52116584777832	1504716381.8029792	1504716391.9037535	10.10077428817749	0.16834623813629152
3549	3549	DONE	25.042057037353516	1504722044.1033006	1504722059.4741504	15.370849847793579	0.2561808307965597
4448	4448	DONE	12.519760131835938	1504739481.475151	1504739497.2435598	15.76840877532959	0.26280681292215985
3407	3407	DONE	14.376747131347656	1504719498.6586022	1504719508.5674472	9.908844947814941	0.1651474157969157
3247	3247	DONE	12.520606994628906	1504716889.3406615	1504716899.8206663	10.480004787445068	0.1746667464574178
3263	3263	DONE	25.041929244995117	1504717148.2456162	1504717163.3969562	15.151340007781982	0.25252233346303304
3231	3231	DONE	12.520797729492188	1504716605.304642	1504716620.123666	14.819024085998535	0.24698373476664226
4738	4738	DONE	15.228338241577148	1504746045.8258183	1504746057.4648368	11.639018535614014	0.19398364226023357
3346	3346	DONE	9.748458862304688	1504718482.2403276	1504718491.4024484	9.162120819091797	0.15270201365152994
3309	3309	DONE	15.773759841918945	1504717895.2523313	1504717906.8071244	11.554793119430542	0.19257988532384238
3230	3230	DONE	7.1883697509765625	1504716592.022827	1504716599.7895355	7.766708612442017	0.12944514354070027
3221	3221	DONE	7.616899490356445	1504716449.286126	1504716457.188324	7.902198076248169	0.13170330127080282
3228	3228	DONE	12.521562576293945	1504716560.6877108	1504716570.4449213	9.757210493087769	0.16262017488479613
